Sr. No.,SKU Code,Activity Name,Vendor Name,Category,Current Status,Rates,GST,Location,Latitude,Longitute
142,728,Chorao Island : Eco Discovery Ride,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Locked,3095,5.00%,Chorao Island,15.537000,73.878000
143,727,Chorao Island : Nature Exploration,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Locked,2161,18.00%,Chorao ferry point,15.528000,73.873000
144,726,Museum of Goa Heritage Tour with High Tea And Art Studio Experience,MIH THEMATIC TRAILS PRIVATE LIMITED,MUSEUM & AMUSEMENT PARK,Locked,1333,5.00%,"Museum of Goa, MOG",15.504000,73.810000
145,725,Museum of Goa Art Tour with High Tea,MIH THEMATIC TRAILS PRIVATE LIMITED,MUSEUM & AMUSEMENT PARK,Locked,952,5.00%,"Museum of Goa, MOG",15.504000,73.810000
146,724,Mythical Wonders of Chorao Island With Lunch,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Live,2286,5.00%,"GV47+9M8, National Hwy 4A Bypass Rd, Ribandar, Goa 403006",15.493000,73.886000
147,723,Mythical Wonders of Chorao Island with Breakfast/High Tea,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Live,1714,5.00%,"GV47+9M8, National Hwy 4A Bypass Rd, Ribandar, Goa 403006",15.493000,73.886000
148,722,South Goa - The Goan Hinterland Experience,TREK ME GOA,LOCAL & HERITAGE,Live,1850,18.00%,"63CP+6M8 Tilamol, junction, Tilamola, Sirvoi, Goa 403705",15.180000,74.090000
149,721,North Goa - Nature's Elixir,Moksha Wellness,WELLNESS & RELAXATION,Live,3559,18.00%,"H no 270, Temple Road, Arambol, Goa 403524",15.686800,73.704700
150,720,North Goa - Fire & Earth Rejuvenation,Moksha Wellness,WELLNESS & RELAXATION,Live,1017,18.00%,"H no 270, Temple Road, Arambol, Goa 403524",15.686800,73.704700
151,719,North Goa - Ice Bath Activity,Moksha Wellness,WELLNESS & RELAXATION,Live,593,18.00%,"H no 270, Temple Road, Arambol, Goa 403524",15.686800,73.704700
152,718,North Goa - Aloe Bath Experience,Moksha Wellness,WELLNESS & RELAXATION,Live,2542,18.00%,"H no 270, Temple Road, Arambol, Goa 403524",15.686800,73.704700
153,717,North Goa - Earth Rejuvenation,Moksha Wellness,WELLNESS & RELAXATION,Live,3136,18.00%,"H no 270, Temple Road, Arambol, Goa 403524",15.686800,73.704700
154,716,North Goa - Sauna Experience,Moksha Wellness,WELLNESS & RELAXATION,Live,424,18.00%,"H no 270, Temple Road, Arambol, Goa 403524",15.686800,73.704700
155,715,North Goa - Mud Bath Wellness Experience,Moksha Wellness,WELLNESS & RELAXATION,Live,2119,18.00%,"H no 270, Temple Road, Arambol, Goa 403524",15.686800,73.704700
156,714,South Goa : Backwater Kayaking on Agonda River,Shree Ganesh Backwater Boat Trips And Kayaking,WATER ACTIVITIES,Locked,600,18.00%,"H. No. 52 Saleri, Cola, Canacona, South Goa",15.200000,74.000000
157,713,North Goa : Havana Vikings Yacht Experience (Non-Peak Hours) (15 Pax),Lovely Water World,SAILING & YACHT,Locked,6500,18.00%,"Captain of Ports Jetty, Old Goa",15.502300,73.911700
158,712,North Goa - Havana Vikings Yacht Experience -Peak Hours -15 Pax,Lovely Water World,SAILING & YACHT,Live,15500,18.00%,"GW46+8Q3 Captain of Ports Jetty, Old Goa., Old Goa, Goa 403405",15.502300,73.911700
159,711,South Goa : Water Sports Combo (4 Rides),Ajit A Salgaonkar,WATER ACTIVITIES,Locked,1300,18.00%,Baina Beach,15.396000,73.819000
160,710,South Goa : Scuba Diving + Island Sightseeing,Ajit A Salgaonkar,WATER ACTIVITIES,Locked,1300,18.00%,Baina Beach,15.396000,73.819000
161,709,South Goa : Grande Island Trip,Ajit A Salgaonkar,WATER ACTIVITIES,Locked,800,18.00%,Baina Beach,15.396000,73.819000
162,708,North Goa Tour - Full-Day Sightseeing,Prathamesh Bicholkar,LOCAL & HERITAGE,Live,476,5.00%,North Goa,15.600000,73.850000
163,707,South Goa Tour - Full Day Sightseeing Beach And Cultural Experience,Prathamesh Bicholkar,LOCAL & HERITAGE,Live,476,5.00%,"Arpora, Candolim, Baga, Calangute",15.543900,73.755300
164,706,South Goa : Private Sundown Experience (Private Yacht) (18 Pax),Rio Cruises LIP,SAILING & YACHT,Locked,9000,18.00%,"Betul, South Goa, India",15.200000,74.000000
165,705,Chapora : Twilight Tides Kayaking,SVS CHAPORA CRUISE AND KAYAKING,WATER ACTIVITIES,Locked,1200,18.00%,"Old Ferry Ramp Jetty, Chopdem, Morjim, Goa",15.642000,73.758000
166,704,North Goa : Scuba & Water Sports Combo,Abhijit Banaulikar,WATER ACTIVITIES,Locked,1430,5.00%,Coco Beach Jetty,15.518000,73.787000
167,703,South Goa : Private Group Party Sailing (Private Boat) (17 Pax),Rio Cruises LIP,SAILING & YACHT,Locked,17500,18.00%,"Betul Beach, South Goa, India",15.143000,73.961000
168,702,North Goa : Open Water Fishing Trip,Mayekar And Sons Fishing Tackle,ADVENTURE & OUTDOOR,Locked,2500,18.00%,"1153/2, Near Devki Krishna Temple, Madel Charao North Goa 403102",15.600000,73.850000
169,701,North Goa : Mangrove Fishing Trip,Mayekar And Sons Fishing Tackle,ADVENTURE & OUTDOOR,Locked,1000,18.00%,"1153/2, Near Devki Krishna Temple, Madel Charao North Goa 403102",15.600000,73.850000
170,700,North Goa : Overnight Fishing,Mayekar And Sons Fishing Tackle,ADVENTURE & OUTDOOR,Locked,1500,18.00%,"1153/2, Near Devki Krishna Temple, Madel Chorao North Goa 403102",15.526000,73.912000
171,699,South Goa - Lunch and Spice Tour,Gaonkars Nandanvan,FOOD & CULINARY,Live,500,18.00%,"nandanvan spice farm Panjim-Belgaum Road, Near opa Water Works, Kodar, Goa 403406",15.430000,74.010000
172,698,The Chorao Chronicles - Mangroves & Memories - Private Boat,LRAJ GREEN SOLUTIONS PRIVATE LIMITED,WATER ACTIVITIES,Live,127000,18.00%,"Dayanand Bandodkar Marg, Patto Colony, Panaji, Goa 403001 / next to temple, Madel, Goa 403102",15.490900,73.827800
173,697,North Goa - Bollywood by the Bay - Private Cruise,LRAJ GREEN SOLUTIONS PRIVATE LIMITED,WATER ACTIVITIES,Live,19800,18.00%,"Dayanand Bandodkar Marg, Patto Colony, Panaji, Goa 403001 / next to temple, Madel, Goa 403102",15.490900,73.827800
174,695,North Goa : Sunset Kayaking at Bambolim,Adventure Breaks,WATER ACTIVITIES,Locked,1750,18.00%,Bambolim,15.447000,73.858000
175,694,North Goa : Secret Beach Kayaking,Adventure Breaks,WATER ACTIVITIES,Locked,1850,18.00%,Bambolim,15.447000,73.858000
176,693,North Goa : Morning Beach Kayaking,Adventure Breaks,WATER ACTIVITIES,Locked,1750,18.00%,Bambolim,15.447000,73.858000
177,692,North Goa - River Safari on a Solar-powered Electric Boat Private Boat,LRAJ GREEN SOLUTIONS PRIVATE LIMITED,WATER ACTIVITIES,Live,19800,18.00%,"Dayanand Bandodkar Marg, Patto Colony, Panaji, Goa 403001 / next to temple, Madel, Goa 403102",15.490900,73.827800
178,691,North Goa - Rise and Shine Adventure - Solar-powered Electric Boat - Private Boat,LRAJ GREEN SOLUTIONS PRIVATE LIMITED,WATER ACTIVITIES,Live,19800,18.00%,"Dayanand Bandodkar Marg, Patto Colony, Panaji, Goa 403001 / next to temple, Madel, Goa 403102",15.490900,73.827800
179,690,North Goa - Sunset Cruise on a Solar Electric Boat - Private Boat,LRAJ GREEN SOLUTIONS PRIVATE LIMITED,WATER ACTIVITIES,Live,19800,18.00%,"Dayanand Bandodkar Marg, Patto Colony, Panaji, Goa 403001 / next to temple, Madel, Goa 403102",15.490900,73.827800
180,681,South Goa - Sightseeing And Dudhsagar Waterfall Tour,Fernandes Holiday Makers,LOCAL & HERITAGE,Locked,2250,5.00%,South Goa,15.200000,74.000000
181,680,Combo Saver - 4 Water Sports at Mobor Beach,PRINCE OF SAL,WATER ACTIVITIES,Locked,2400,18.00%,Mobor,15.173000,73.946000
182,678,North Goa : Birdwatching at Dr Salim Ali Bird Sanctuary,Uday The Birdman Charao,NATURE & WILDLIFE,Live,1695,18.00%,"GV7C+657, Ilhas, Madel, Ribandar, Goa 403102",15.493000,73.886000
183,677,North Goa : Chorao Island Birdwatching Trip,Uday The Birdman Charao,NATURE & WILDLIFE,Locked,2119,18.00%,Charao Island ferry point island side,15.528000,73.873000
184,676,North Goa : New Year’s Eve Special Dinner Cruise,Paradise Ventures,SAILING & YACHT,Locked,,,Panjim Goa.,15.490900,73.827800
185,672,North Goa - Forest and RiverTrail And Home-style Meals,Eduventures Goa,NATURE & WILDLIFE,Live,1780,18.00%,"958F+55F, NH748, Sangod, Goa 403406",15.383000,74.050000
186,671,North Goa - Wildlife After Dark - Goa Overnight Herping Trail and Forest Camping,Eduventures Goa,NATURE & WILDLIFE,Locked,4068,18.00%,"Sangod, Goa",15.383000,74.050000
187,670,North Goa - Forest and River Trail,Eduventures Goa,Monsoon Specials,Live,1271,18.00%,"958F+55F, NH748, Sangod, Goa 403406",15.383000,74.050000
188,669,North Goa - Natural Riverside Adventure - Extreme Edition,Eduventures Goa,NATURE & WILDLIFE,Live,3729,18.00%,"Ground Floor, NH 4A, Suktali, Sangod, Ponda, Goa 403406",15.383000,74.050000
189,667,North Goa - Wildlife After Dark - Night Herping Trail and Local Dinner,Eduventures Goa,NATURE & WILDLIFE,Live,2542,18.00%,"958F+55F, NH748, Sangod, Goa 403406",15.383000,74.050000
190,666,Goa Outdoor Escape - Camping BBQ Dinner And Western Ghats Night Trek,Eduventures Goa,NATURE & WILDLIFE,Locked,3051,18.00%,"Sangod, Goa",15.383000,74.050000
191,665,Natural Riverside Adventure - Adventurer Edition,Eduventures Goa,ADVENTURE & OUTDOOR,Live,3356,18.00%,"958F+55F, NH748, Sangod, Goa 403406",15.383000,74.050000
192,664,North Goa - Birdwatching Trails - Discover Rare Birds in Hidden Spots,Eduventures Goa,NATURE & WILDLIFE,Locked,1525,18.00%,"Sangod, Goa",15.383000,74.050000
193,663,North Goa - Relax by the River - Forest Day Out with Goan Cuisine And River Activities,Eduventures Goa,NATURE & WILDLIFE,Locked,1780,18.00%,"Sangod, Goa",15.383000,74.050000
194,662,North Goa - Hidden Birding Spots for Travelers And Nature Enthusiasts,Eduventures Goa,NATURE & WILDLIFE,Locked,1525,18.00%,"Ribandar, Piedade, Goa",15.493000,73.886000
195,661,North Goa - Relax by the River - Forest Day Out with Goan Cuisine,Eduventures Goa,NATURE & WILDLIFE,Locked,1271,18.00%,"Sangod, Goa",15.383000,74.050000
196,660,North Goa - Natural Riverside Adventure - Beginner Edition,Eduventures Goa,Monsoon Specials,Live,2034,18.00%,"958F+55F, NH748, Sangod, Goa 403406",15.383000,74.050000
197,659,"Goa Outdoor Escape- Camping, BBQ Dinner Night Trek And River Adventures",Eduventures Goa,NATURE & WILDLIFE,Locked,5085,18.00%,"Sangod, Goa",15.383000,74.050000
198,658,North Goa : Ocean Explorer Scuba Dive - 80 Minutes,FlyingFish Scuba School,WATER ACTIVITIES,Locked,1386,18.00%,"Candolim, Goa",15.516400,73.762500
199,657,North Goa : Ocean Explorer Scuba Dive - 40 Minutes,FlyingFish Scuba School,WATER ACTIVITIES,Locked,990,18.00%,"Candolim, Goa",15.516400,73.762500
200,656,North Goa : Ocean Explorer Scuba Dive - 20 Minutes,FlyingFish Scuba School,WATER ACTIVITIES,Locked,594,18.00%,"Candolim, Goa",15.516400,73.762500
201,655,Panjim - Culinary Heritage Trail,Samattv Origins Private Limited,LOCAL & HERITAGE,Live,1525,18.00%,"Fontainhas , Panjim",15.493000,73.828000
202,653,North Goa : Surfing Group,Swell Cats Surf Club,WATER ACTIVITIES,Locked,2700,18.00%,Ashvem Beach,15.659000,73.713500
203,652,North Goa : One Day Surfing Lesson,Swell Cats Surf Club,WATER ACTIVITIES,Locked,2430,18.00%,Ashvem Beach,15.659000,73.713500
204,651,North Goa - Birdwatching at Bondla Wildlife Sanctuary,Mrugaya Xpeditions,NATURE & WILDLIFE,Live,1800,5.00%,"C3V7+9QG, Usgao-Ganjem VP, Goa 403406",15.390000,74.020000
205,643,North Goa: Island Trip Nemo,Nautilus Sailing Ventures LLP,SAILING & YACHT,Locked,3500,18.00%,Dona Paula,15.458000,73.806000
206,642,North Goa : Sunset Sailing on Nemo,Nautilus Sailing Ventures LLP,SAILING & YACHT,Locked,15000,18.00%,Dona Paula,15.458000,73.806000
207,641,North Goa - Nicolyn Sunset Cruise,Nautilus Sailing Ventures LLP,SAILING & YACHT,Live,10999,18.00%,"GVR9+X7R Salvador du Mundu, Goa",15.548000,73.853000
208,639,North Goa - Nicolyn Morning Cruise - 10 Pax,Nautilus Sailing Ventures LLP,SAILING & YACHT,Locked,7500,18.00%,Pehna de Fanca Jetty,15.532000,73.849000
209,636,North Goa : Nemo Day Sail,Nautilus Sailing Ventures LLP,SAILING & YACHT,Locked,1100,18.00%,"Dona Paula Panaji, Goa",15.458000,73.806000
210,634,North Goa - Night Party Cruising,Shubhangi Floating Paradise,SAILING & YACHT,Locked,2000,18.00%,Chapora River,15.640000,73.750000
211,633,North Goa - Floating Villa House Boat,Shubhangi Floating Paradise,SAILING & YACHT,Locked,15000,18.00%,"Chapora River, Chopdem, North Goa",15.640000,73.750000
212,632,North Goa - Sundowner Dinner Cruise,Shubhangi Floating Paradise,SAILING & YACHT,Locked,2500,18.00%,Chapora River,15.640000,73.750000
213,631,North Goa - Adiyogam Yoga Retreat (With Overnight Stay),Adiyogam Yoga Retreat,WELLNESS & RELAXATION,Locked,2799,5.00%,"442/2, Bhatawadi, Corgao, Arambol, Goa 403512",15.686800,73.704700
214,630,North Goa : Adiyogam Yoga Retreat (Without Overnight Stay),Adiyogam Yoga Retreat,WELLNESS & RELAXATION,Locked,1799,5.00%,"442/2, Bhatawadi, Corgao, Arambol, Goa 403512",15.686800,73.704700
215,626,North Goa - Paradise Dinner Cruise,Paradise Ventures,WATER ACTIVITIES,Live,1099,18.00%,"Santa Monica Jetty Terminal, Avenida Dom João de Castro, Patto Colony, Panaji, Goa 403001",15.496000,73.835000
216,625,North Goa: Sundown Cruise on Paradise,Paradise Ventures,SAILING & YACHT,Locked,,,Panjim Goa,15.490900,73.827800
217,624,North Goa - Sunset Cruise on Paradise,Paradise Ventures,WATER ACTIVITIES,Live,424,18.00%,"Santa Monica Jetty Terminal, Avenida Dom João de Castro, Patto Colony, Panaji, Goa 403001",15.496000,73.835000
218,619,North Goa : Venus Yacht Two Hour Cruise (9 Pax),Phoenix Yachts Goa,SAILING & YACHT,Live,12999,18.00%,"Betim – Penha de Franca – Pomburpa – Quitla - Aldona, Porvorim, Alto Porvorim, Penha de Franc, Goa 403101",15.532000,73.849000
219,617,North Goa : Yacht Venus One Hour,Phoenix Yachts Goa,SAILING & YACHT,Locked,,,Britona Alto Betim Penha de Franca,15.532000,73.849000
220,616,North Goa : Phoenix Yacht Two Hour Cruise (15 Pax),Phoenix Yachts Goa,SAILING & YACHT,Live,15000,18.00%,"Betim – Penha de Franca – Pomburpa – Quitla - Aldona, Porvorim, Alto Porvorim, Penha de Franc, Goa 403101",15.532000,73.849000
221,615,North Goa : Phoenix Yacht One Hour,Phoenix Yachts Goa,SAILING & YACHT,Locked,,,Britona Alto Betim Penha de Franca,15.532000,73.849000
222,602,Panjim : Bayliner 275 Yacht Cruise,Yatch Life Goa,SAILING & YACHT,Locked,1313,18.00%,Panjim Goa,15.490900,73.827800
223,601,North Goa : One Wheeling (Electric Skateboard),Stoke India,ADVENTURE & OUTDOOR,Locked,1500,18.00%,"Candolim Beach, Vagator Beach, Morjim Beach, Arambol Beach, Mandrem Beach, Caranzalem Beach",15.474000,73.810000
224,600,North Goa : Jetboarding,Stoke India,ADVENTURE & OUTDOOR,Locked,3500,18.00%,Revora Goa,15.626000,73.875000
225,599,North Goa : Kayaking at Revora,Stoke India,WATER ACTIVITIES,Locked,800,18.00%,"Revora, Colvale, North Goa",15.600000,73.850000
226,598,North Goa - Crocodile Spotting And Birdwatching,Jake The Snake,NATURE & WILDLIFE,Locked,2000,18.00%,"Jake the Snake, St.Estevam Ferry, Jetty Dougee, Tiswadi 403106",15.525000,73.960000
227,597,North Goa : Sunset and Island Exclusive,SVS CHAPORA CRUISE AND KAYAKING,WATER ACTIVITIES,Locked,2542,18.00%,"Old Ferry Ramp Jetty, Morjim, Goa",15.642000,73.758000
228,596,North Goa - Birthday Celebration with Boat Cruise,SVS CHAPORA CRUISE AND KAYAKING,WATER ACTIVITIES,Live,1695,18.00%,"Old Ferry Ramp Jetty, near Football Ground, Chopdem, Morjim, Goa 403512",15.642000,73.758000
229,595,North Goa : Dolphin Spotting,SVS CHAPORA CRUISE AND KAYAKING,NATURE & WILDLIFE,Locked,2119,18.00%,"Old Ferry Ramp Jetty, Morjim, Goa",15.642000,73.758000
230,594,North Goa : Crocodile Sightings,SVS CHAPORA CRUISE AND KAYAKING,NATURE & WILDLIFE,Locked,2119,18.00%,"Old Ferry Ramp Jetty, Morjim, Goa",15.642000,73.758000
231,593,North Goa : Tranquility Cruise,SVS CHAPORA CRUISE AND KAYAKING,SAILING & YACHT,Locked,1271,18.00%,"Old ferry Ramp jetty, Morjim, goa",15.642000,73.758000
232,592,North Goa : Private Photo Shoot with Cruise,SVS CHAPORA CRUISE AND KAYAKING,WATER ACTIVITIES,Locked,1695,18.00%,"Old Ferry Ramp Jetty, Morjim, Goa",15.642000,73.758000
233,591,North Goa - Mangrove Cruise And Kayaking,SVS CHAPORA CRUISE AND KAYAKING,WATER ACTIVITIES,Locked,2542,18.00%,"Old Ferry Ramp Jetty, Morjim, Goa",15.642000,73.758000
234,590,North Goa : Fishing Trip on Chapora River,SVS CHAPORA CRUISE AND KAYAKING,WATER ACTIVITIES,Locked,2542,18.00%,"Old Ferry Ramp Jetty, Morjim, Goa",15.642000,73.758000
235,589,North Goa : Private Boat Booking,SVS CHAPORA CRUISE AND KAYAKING,SAILING & YACHT,Locked,12712,18.00%,"Old Ferry Ramp Jetty, Morjim, Goa",15.642000,73.758000
236,588,North Goa : Kayaking Exclusively for Students,SVS CHAPORA CRUISE AND KAYAKING,LETSGOA SPECIAL DEALS,Locked,457,18.00%,"Old Ferry Ramp Jetty, Morjim, Goa",15.642000,73.758000
237,587,Chapora - Pro Paddle And Swim Introductory,SVS CHAPORA CRUISE AND KAYAKING,WATER ACTIVITIES,Locked,847,18.00%,"Old Ferry Ramp Jetty, Morjim, Goa",15.642000,73.758000
238,586,North Goa : Skyview Kayaking Adventurer,SVS CHAPORA CRUISE AND KAYAKING,WATER ACTIVITIES,Locked,1270,18.00%,Old Ferry Ramp Jetty Morjim Goa,15.642000,73.758000
239,573,Chorao Island - The Kulagar Table - Flavours of Home,Macchindranath Kauthankar,LOCAL & HERITAGE,Live,1188,18.00%,"Tato Kulagar, Deugim, Madel, Goa 403102",15.526000,73.912000
240,572,North Goa - Echoes of Chorao - Island Stories And Heritage Tour,Macchindranath Kauthankar,LOCAL & HERITAGE,Live,1575,18.00%,"Tato Kulagar, Deugim, Madel, Goa 403102",15.526000,73.912000
241,571,Chorao Island - The Kulagar Kitchen Experience - Spice Fire And Feast,Macchindranath Kauthankar,FOOD & CULINARY,Live,2000,18.00%,"Tato Kulagar, Deugim, Madel, Goa 403102",15.526000,73.912000
242,566,North Goa : Bonderam Special Divar Tour,Samattv Origins Private Limited,LOCAL & HERITAGE,Locked,1272,18.00%,North Goa : Divar Island,15.600000,73.850000
243,565,South Goa - Natural Riverside Activities - Level 1,Eduventures Goa,NATURE & WILDLIFE,Live,2542,18.00%,"Ground Floor, NH 4A, Suktali, Sangod, Ponda, Goa 403406",15.383000,74.050000
244,558,North Goa : Bhivpachi Garaz Na Cliff Jump,The Local Beat,ADVENTURE & OUTDOOR,Locked,3500,18.00%,Bicholim North Goa,15.600000,73.850000
245,557,South Goa - Bebde Pasoi - Tavern Trail,The Local Beat,FOOD & CULINARY,Locked,3200,18.00%,South Goa,15.200000,74.000000
246,556,North Goa - Bebde Pasoi - Fontainhas Tavern Trail,The Local Beat,FOOD & CULINARY,Live,3200,18.00%,"FRXH+Q44, Near Municipal Garden, Panaji, Goa",15.490900,73.827800
247,555,North Goa - Dobroh - Rock Pool Place,The Local Beat,NATURE & WILDLIFE,Live,3500,18.00%,Bicholim,15.593000,73.945000
248,554,Panjim - Noite em Fontainhas - Walk and Dine,The Local Beat,FOOD & CULINARY,Locked,3500,18.00%,"For The Record - Vinyl Bar, Panjim, North Goa",15.493000,73.828000
249,553,South Goa - Ghogo - Pocket Paradise Picnic,The Local Beat,NATURE & WILDLIFE,Live,3500,18.00%,"https://maps.google.com/maps?ll=15.308618,74.010895&z=18&t=m&hl=en&gl=IN&mapclient=embed&q=rachol%20ferry",15.297000,74.050000
250,552,North Goa Folgar : Go with the Flow,The Local Beat,Monsoon Specials,Locked,3500,18.00%,North Goa,15.600000,73.850000
251,551,North Goa - Zor-achem Caant - Spa in Little Eden,The Local Beat,Monsoon Specials,Live,3500,18.00%,Bicholim,15.593000,73.945000
252,550,North Goa - Khondd - The Pool by the Plateau,The Local Beat,NATURE & WILDLIFE,Live,3500,18.00%,Bicholim,15.593000,73.945000
