Sr. No.,SKU Code,Activity Name,Vendor Name,Category,Current Status,Rates,GST,Location,Latitude,Longitute
374,336,Kayaking at Baga Beach,ATLANTIS WATERSPORTS,WATER ACTIVITIES,Locked,650,18.00%,Baga,15.555400,73.751600
375,328,North Goa - Feel The Thunder,DREAM ENTERTAINMENT,MUSEUM & AMUSEMENT PARK,Live,551,18.00%,"Near. St. Joseph School, Arpora- Nagoa road, Viegas Vaddo, Arpora, Bardez, Goa - 403516.",15.555000,73.767000
376,324,Goa : Mandovi Lounge Boat (8 Pax),SHANTAM HOLDINGS INDIA PRIVATE LIMITED,SAILING & YACHT,Live,8500,18.00%,"Near, Holy Cross-Virlosa, Britona, Goa Housing Board, Penha de Franc, Goa 403101",15.531000,73.850000
377,318,Panjim : Wave Rider (6 Pax),SHANTAM HOLDINGS INDIA PRIVATE LIMITED,SAILING & YACHT,Live,10000,18.00%,"Near, Holy Cross-Virlosa, Britona, Goa Housing Board, Penha de Franc, Goa 403101",15.531000,73.850000
378,317,Goa : Luxury Yacht Experience (25 Pax),SHANTAM HOLDINGS INDIA PRIVATE LIMITED,SAILING & YACHT,Locked,15000,18.00%,Mandovi Backwaters,15.510000,73.850000
379,316,Goa : Searay 330 (10 Pax),SHANTAM HOLDINGS INDIA PRIVATE LIMITED,SAILING & YACHT,Live,14000,18.00%,"Near, Holy Cross-Virlosa, Britona, Goa Housing Board, Penha de Franc, Goa 403101",15.531000,73.850000
380,311,North Goa : Prestige 36 Yacht (8 Pax),SHANTAM HOLDINGS INDIA PRIVATE LIMITED,SAILING & YACHT,Live,15000,18.00%,"Near, Holy Cross-Virlosa, Britona, Goa Housing Board, Penha de Franc, Goa 403101",15.531000,73.850000
381,308,North Goa : Dinner Cruise,Fernandes Holiday Makers,WATER ACTIVITIES,Locked,1500,5.00%,Panaji - Mandovi River,15.500000,73.820000
382,306,South Goa - AC Coach Tour,Fernandes Holiday Makers,LOCAL & HERITAGE,Live,499,5.00%,South Goa,15.200000,74.000000
383,304,"Combo Saver - Museum, Aquarium & 9D Adventure",Benz Amusements Parks Private Limited,MUSEUM & AMUSEMENT PARK,Locked,600,18.00%,Arpora,15.555000,73.767000
